train_loss: 0.381244,train_acc：0.867162
train_loss: 0.381406,train_acc：0.869650
train_loss: 0.376950,train_acc：0.870524
train_loss: 0.368228,train_acc：0.871325
train_loss: 0.367741,train_acc：0.873496
train_loss: 0.351781,train_acc：0.879718
train_loss: 0.357514,train_acc：0.877620
train_loss: 0.351921,train_acc：0.880551
train_loss: 0.350496,train_acc：0.878465
train_loss: 0.334363,train_acc：0.885149
train_loss: 0.343766,train_acc：0.881096
train_loss: 0.342046,train_acc：0.881252
train_loss: 0.321632,train_acc：0.889338
train_loss: 0.325875,train_acc：0.888254
train_loss: 0.329189,train_acc：0.887795
train_loss: 0.325926,train_acc：0.891753
train_loss: 0.313735,train_acc：0.893874
train_loss: 0.307484,train_acc：0.895197
train_loss: 0.310404,train_acc：0.893823
train_loss: 0.302285,train_acc：0.896418
train_loss: 0.304339,train_acc：0.894867
train_loss: 0.297337,train_acc：0.899734
train_loss: 0.303064,train_acc：0.897000
train_loss: 0.288303,train_acc：0.901400
train_loss: 0.293311,train_acc：0.899503
train_loss: 0.289157,train_acc：0.900546
train_loss: 0.286417,train_acc：0.901800
train_loss: 0.285364,train_acc：0.902610
train_loss: 0.274479,train_acc：0.905411
train_loss: 0.272088,train_acc：0.909526
train_loss: 0.278472,train_acc：0.905885
train_loss: 0.268741,train_acc：0.911023
train_loss: 0.267668,train_acc：0.909359
train_loss: 0.253218,train_acc：0.913201
train_loss: 0.261931,train_acc：0.912384
train_loss: 0.260581,train_acc：0.912598
train_loss: 0.250615,train_acc：0.913990
train_loss: 0.263422,train_acc：0.912358
train_loss: 0.253487,train_acc：0.915495
train_loss: 0.253235,train_acc：0.914706
train_loss: 0.250065,train_acc：0.914586
train_loss: 0.247558,train_acc：0.916699
train_loss: 0.239325,train_acc：0.919179
train_loss: 0.233552,train_acc：0.922255
train_loss: 0.230121,train_acc：0.922743
train_loss: 0.230496,train_acc：0.922372
train_loss: 0.224500,train_acc：0.925484
train_loss: 0.235220,train_acc：0.920728
train_loss: 0.220511,train_acc：0.925996
train_loss: 0.221448,train_acc：0.925096
train_loss: 0.230616,train_acc：0.922660
train_loss: 0.222965,train_acc：0.924327
train_loss: 0.216994,train_acc：0.929125
train_loss: 0.222068,train_acc：0.927694
train_loss: 0.215899,train_acc：0.927981
train_loss: 0.208217,train_acc：0.931372
train_loss: 0.215167,train_acc：0.929127
train_loss: 0.215077,train_acc：0.927201
train_loss: 0.207091,train_acc：0.931354
train_loss: 0.212707,train_acc：0.931193
train_loss: 0.202280,train_acc：0.933671
train_loss: 0.212622,train_acc：0.930138
train_loss: 0.195270,train_acc：0.934153
train_loss: 0.188707,train_acc：0.938454
train_loss: 0.193442,train_acc：0.935797
train_loss: 0.186505,train_acc：0.937454
train_loss: 0.200062,train_acc：0.933176
train_loss: 0.186210,train_acc：0.939848
train_loss: 0.186273,train_acc：0.938986
train_loss: 0.197085,train_acc：0.935673
train_loss: 0.189140,train_acc：0.939328
train_loss: 0.187861,train_acc：0.938908
train_loss: 0.177784,train_acc：0.940994
train_loss: 0.178251,train_acc：0.941589
train_loss: 0.179835,train_acc：0.940260
train_loss: 0.187346,train_acc：0.937709
train_loss: 0.190735,train_acc：0.938574
train_loss: 0.174951,train_acc：0.941200
train_loss: 0.178121,train_acc：0.941141
train_loss: 0.176679,train_acc：0.941372
train_loss: 0.178849,train_acc：0.941510
train_loss: 0.169760,train_acc：0.944283
train_loss: 0.163776,train_acc：0.946474
train_loss: 0.170491,train_acc：0.944351
train_loss: 0.168679,train_acc：0.944523
train_loss: 0.171725,train_acc：0.943638
train_loss: 0.170906,train_acc：0.946389
train_loss: 0.164457,train_acc：0.944962
train_loss: 0.163279,train_acc：0.946597
train_loss: 0.165137,train_acc：0.946474
train_loss: 0.161591,train_acc：0.945044
train_loss: 0.152394,train_acc：0.948984
train_loss: 0.154744,train_acc：0.949157
train_loss: 0.157929,train_acc：0.949582
train_loss: 0.152903,train_acc：0.950495
train_loss: 0.157563,train_acc：0.948801
train_loss: 0.144888,train_acc：0.952307
train_loss: 0.159214,train_acc：0.949075
train_loss: 0.152109,train_acc：0.951752
train_loss: 0.152082,train_acc：0.951352
train_loss: 0.148802,train_acc：0.950481
train_loss: 0.149296,train_acc：0.951913
train_loss: 0.145911,train_acc：0.952813
train_loss: 0.143073,train_acc：0.954833
train_loss: 0.137531,train_acc：0.954359
train_loss: 0.150825,train_acc：0.951486
train_loss: 0.146913,train_acc：0.952823
train_loss: 0.140592,train_acc：0.953756
train_loss: 0.137461,train_acc：0.956309
train_loss: 0.140514,train_acc：0.954900
train_loss: 0.133202,train_acc：0.956691
train_loss: 0.136779,train_acc：0.954353
train_loss: 0.139502,train_acc：0.955072
train_loss: 0.137135,train_acc：0.953614
train_loss: 0.131532,train_acc：0.958743
train_loss: 0.136510,train_acc：0.955450
train_loss: 0.130981,train_acc：0.958950
train_loss: 0.131870,train_acc：0.958903
train_loss: 0.131288,train_acc：0.957395
train_loss: 0.128103,train_acc：0.958801
train_loss: 0.131673,train_acc：0.958153
train_loss: 0.126299,train_acc：0.959601
train_loss: 0.122727,train_acc：0.960689
train_loss: 0.128537,train_acc：0.959779
train_loss: 0.118913,train_acc：0.961359
train_loss: 0.123470,train_acc：0.961094
train_loss: 0.123891,train_acc：0.960484
train_loss: 0.125744,train_acc：0.959950
train_loss: 0.122241,train_acc：0.961028
train_loss: 0.123652,train_acc：0.960574
train_loss: 0.117119,train_acc：0.962270
train_loss: 0.127448,train_acc：0.959222
train_loss: 0.124008,train_acc：0.959454
train_loss: 0.118588,train_acc：0.962963
train_loss: 0.124155,train_acc：0.960164
train_loss: 0.121887,train_acc：0.960693
train_loss: 0.123967,train_acc：0.960215
train_loss: 0.114165,train_acc：0.963392
train_loss: 0.119249,train_acc：0.962514
train_loss: 0.113594,train_acc：0.964197
train_loss: 0.118411,train_acc：0.961959
train_loss: 0.117246,train_acc：0.962647
train_loss: 0.109207,train_acc：0.965533
train_loss: 0.121597,train_acc：0.961162
train_loss: 0.112327,train_acc：0.963461
train_loss: 0.112398,train_acc：0.964294
train_loss: 0.117400,train_acc：0.963610
train_loss: 0.108466,train_acc：0.964483
train_loss: 0.113402,train_acc：0.964122
train_loss: 0.107667,train_acc：0.964991
train_loss: 0.107444,train_acc：0.965398
train_loss: 0.118027,train_acc：0.962745
train_loss: 0.114073,train_acc：0.964996
train_loss: 0.105578,train_acc：0.965454
train_loss: 0.109106,train_acc：0.965753
train_loss: 0.107455,train_acc：0.965357
train_loss: 0.105262,train_acc：0.965936
train_loss: 0.105533,train_acc：0.965909
train_loss: 0.106586,train_acc：0.965991
train_loss: 0.102349,train_acc：0.966965
train_loss: 0.111574,train_acc：0.964887
train_loss: 0.105928,train_acc：0.966774
train_loss: 0.097397,train_acc：0.968585
train_loss: 0.098782,train_acc：0.967293
train_loss: 0.099338,train_acc：0.968225
train_loss: 0.102676,train_acc：0.967427
train_loss: 0.094118,train_acc：0.969596
train_loss: 0.103397,train_acc：0.967444
train_loss: 0.101520,train_acc：0.967554
train_loss: 0.100796,train_acc：0.968298
train_loss: 0.102248,train_acc：0.966498
train_loss: 0.092701,train_acc：0.970028
train_loss: 0.098234,train_acc：0.969262
train_loss: 0.099417,train_acc：0.968091
train_loss: 0.094674,train_acc：0.970617
train_loss: 0.096839,train_acc：0.968704
train_loss: 0.095947,train_acc：0.969961
train_loss: 0.092807,train_acc：0.970961
train_loss: 0.098932,train_acc：0.967969
train_loss: 0.090675,train_acc：0.970404
train_loss: 0.095371,train_acc：0.968549
train_loss: 0.089763,train_acc：0.971247
train_loss: 0.092815,train_acc：0.969819
train_loss: 0.094977,train_acc：0.970467
train_loss: 0.091106,train_acc：0.970436
train_loss: 0.093700,train_acc：0.969412
train_loss: 0.091702,train_acc：0.971577
train_loss: 0.093493,train_acc：0.970272
